name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Pr(Ac)2+,NA,Pr(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-345500,-406710,-6.2,102,52.3,9.1362,14.525,0.0441,-3.3794,71.8931,17.7378,0.6472,1
Pr(Ac)3,NA,Pr(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-435690,-526750,7.8,144.3,107.7,16.4898,32.4806,-7.0127,-4.1216,90.447,26.3552,-0.03,0
Ce(Ac)+2,NA,CeCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-253590,-286390,-25.4,58.5,5.1,2.9487,-0.5825,5.9809,-2.7548,53.6757,8.8731,1.4382,2
Ce(Ac)2+,NA,Ce(CH3COO)2+,aq,"SK93 [S98]",SLOP98.6,2.Jun.98,-344550,-405090,-4.3,141.9,55.1,9.5157,15.4527,-0.3219,-3.4177,95.0022,25.8754,0.6143,1
Ce(Ac)3,NA,Ce(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-434760,-524960,10.3,211.8,110.9,16.9252,33.5426,-7.4282,-4.1656,130.0191,40.1094,-0.03,0
Gd(Ac)+2,NA,GdCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-250490,-283100,-25.7,64.5,4.4,2.8605,-0.7945,6.0567,-2.7461,57.3241,10.1106,1.4477,2
Gd(Ac)2+,NA,Gd(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-341350,-401740,-4.7,153.8,54.4,9.4165,15.2134,-0.2342,-3.4078,102.023,28.2899,0.6223,1
Gd(Ac)3,NA,Gd(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-431490,-521580,9.8,231.8,110,16.8116,33.2662,-7.3215,-4.1541,141.7603,44.1903,-0.03,0
Tb(Ac)+2,NA,TbCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-251390,-286400,-32.5,54.2,4.7,2.9247,-0.6382,5.9963,-2.7525,52.1779,8.0023,1.5475,2
Tb(Ac)2+,NA,Tb(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-342250,-405780,-14,133.6,54.6,9.4965,15.4094,-0.3132,-3.4159,91.4417,24.1763,0.7584,1
